,Card,Value
0,ace_of_spades,0
1,ace_of_hearts,0
2,ace_of_clubs,0
3,ace_of_diamonds,0
4,king_of_spades,-2
5,king_of_hearts,-2
6,king_of_clubs,-2
7,king_of_diamonds,-2
8,queen_of_spades,-2
9,queen_of_hearts,-2
10,queen_of_clubs,-2
11,queen_of_diamonds,-2
12,jack_of_spades,-2
13,jack_of_hearts,-2
14,jack_of_clubs,-2
15,jack_of_diamonds,-2
16,ten_of_spades,-2
17,ten_of_hearts,-2
18,ten_of_clubs,-2
19,ten_of_diamonds,-2
20,nine_of_spades,1
21,nine_of_hearts,1
22,nine_of_clubs,1
23,nine_of_diamonds,1
24,eight_of_spades,1
25,eight_of_hearts,1
26,eight_of_clubs,1
27,eight_of_diamonds,1
28,seven_of_spades,1
29,seven_of_hearts,1
30,seven_of_clubs,1
31,seven_of_diamonds,1
32,six_of_spades,1
33,six_of_hearts,1
34,six_of_clubs,1
35,six_of_diamonds,1
36,five_of_spades,1
37,five_of_hearts,1
38,five_of_clubs,1
39,five_of_diamonds,1
40,four_of_spades,1
41,four_of_hearts,1
42,four_of_clubs,1
43,four_of_diamonds,1
44,three_of_spades,1
45,three_of_hearts,1
46,three_of_clubs,1
47,three_of_diamonds,1
48,two_of_spades,1
49,two_of_hearts,1
50,two_of_clubs,1
51,two_of_diamonds,1
